file,flight_id,path,status,reject_reason,row_count,duration_s,sample_hz,file_size_mb,nan_delta_angle,nan_delta_velocity,nan_mag_field,nan_indicated_airsp,nan_baro_alt_meter_,nan_x_f58,nan_y_f58,nan_z_f58
vuelo_24_sync.csv,vuelo_24,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_24_sync.csv,ok,,551,279.31,1.97,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_25_sync.csv,vuelo_25,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_25_sync.csv,ok,,578,292.07,1.98,11.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_26_sync.csv,vuelo_26,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_26_sync.csv,ok,,583,294.57,1.98,11.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_27_sync.csv,vuelo_27,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_27_sync.csv,ok,,573,290.02,1.97,11.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_28_sync.csv,vuelo_28,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_28_sync.csv,ok,,585,296.62,1.97,11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_29_sync.csv,vuelo_29,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_29_sync.csv,ok,,473,239.34,1.97,9.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_2_sync.csv,vuelo_2,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_2_sync.csv,ok,,508,256.54,1.98,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_30_sync.csv,vuelo_30,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_30_sync.csv,ok,,490,247.43,1.98,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_31_sync.csv,vuelo_31,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_31_sync.csv,ok,,481,243.39,1.97,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vuelo_32_sync.csv,vuelo_32,C:\Users\Lenovo\Desktop\projeler egit\SSBHava Araçlarında GPS Kullanmadan Konum Tahmini\Holybro Pixhawk Dataset\Holybro Pixhawk\processed\Grouped flights\vuelo_32_sync.csv,ok,,555,280.32,1.98,11.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
